what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1455560389748
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1455560389748
java.specification.version,sysinfo,,,"1.6",1455560389748
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1455560389748
java.version,sysinfo,,,"1.6.0_23",1455560389748
java.vm.info,sysinfo,,,"mixed mode",1455560389748
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1455560389748
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455560389748
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1455560389748
java.vm.specification.version,sysinfo,,,"1.0",1455560389748
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1455560389748
java.vm.version,sysinfo,,,"19.0-b09",1455560389748
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1455560389861
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1455560390297
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455560398080
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455560398127
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1455560550629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1455560550646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455560560475
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1455560560697
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455560562197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560562855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560565373
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1455560569524
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1455560569593
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1455560569598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560570887
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455560572167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560572180
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1455560572183
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455560573027
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1455560573406
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1455560573513
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1455560573531
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1455560573532
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1455560573620
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [2-1.8]', --device=1, --instance=0, --stop, --sidp=0x1012088, --id=0x0, --timestamp=1455228781] return code: 8",1455560574903
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [2-1.8]', --device=1, --instance=0, --go, --sidp=0x1012088, --id=0x0, --timestamp=1455228781, /afs/ualberta.ca/home/j/k/jkeeling/ece492/MappingRobot/software/MappingRobotSoftware/MappingRobotSoftware.elf] return code: 8",1455560576275
error,log,,,"Downloading ELF Process failed",1455560576283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560576350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560578766
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1455560590137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560590259
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1455560603028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560603040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560606502
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455560607012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560607020
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455560607704
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455560608046
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [2-1.8]', --device=1, --instance=0, --stop, --sidp=0x1012088, --id=0x0, --timestamp=1455228781] return code: 8",1455560608939
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [2-1.8]', --device=1, --instance=0, --go, --sidp=0x1012088, --id=0x0, --timestamp=1455228781, /afs/ualberta.ca/home/j/k/jkeeling/ece492/MappingRobot/software/MappingRobotSoftware/MappingRobotSoftware.elf] return code: 8",1455560610292
error,log,,,"Downloading ELF Process failed",1455560610299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560610348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560616659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560623555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560637107
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455560638083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560642373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560642749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560645913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560647225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560647256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560647944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560651806
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455560652308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455560652316
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455560652978
