what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230519181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230542571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1455230547006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1455230559181
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455230560831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230568881
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455230570155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230570162
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455230570850
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455230591434
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455230594409
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455230607031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1455230616764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1455230623668
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455230626330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230629838
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455230630949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230630957
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455230631623
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455230652184
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455230655129
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455230742975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230749807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230787728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230788398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230851207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230867228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230911716
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455230918716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230943519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230972494
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455230989066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455230995337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231001616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231015985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231021271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231025552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231027855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231031662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231033074
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455231040004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231041891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231042048
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455231048625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231056768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1455231059115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231059137
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455231059807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455231060859
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1455231064611
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1455231064635
