what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1455564878621
java.specification.name,sysinfo,,,"Java Platform API Specification",1455564878621
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1455564878621
java.specification.version,sysinfo,,,"1.6",1455564878621
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1455564878621
java.version,sysinfo,,,"1.6.0_23",1455564878621
java.vm.info,sysinfo,,,"mixed mode",1455564878621
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1455564878621
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455564878621
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1455564878621
java.vm.specification.version,sysinfo,,,"1.0",1455564878621
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1455564878621
java.vm.version,sysinfo,,,"19.0-b09",1455564878621
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455564879414
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1455564879504
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1455564879532
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455564881881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455564881932
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1455564881988
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1455564881992
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1455564881992
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1455564881993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455564885789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455564891739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455564894963
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1455564897358
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1455564897360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455564900245
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455564901186
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1455564901191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455564901196
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455564901949
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1455564902102
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1455564902110
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455564905610
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455564932237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455564934788
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455564935297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455564935306
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455564935959
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455564936445
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455564939408
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455565071328
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455565073003
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455565073049
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455565077358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565081754
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455565082261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565082270
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455565082907
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455565083432
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455565086332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565173214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565175581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565178412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565442294
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455565443208
started,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1455565443397
opened,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565443521
activated,perspective,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui.cPerspective",1455565443521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565443552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565443556
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455565443557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565449368
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455565449406
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455565450010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565450025
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455565450693
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455565450707
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455565451065
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455565453852
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455565454921
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455565454957
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455565454981
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1455565454989
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1455565454992
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1455565455014
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1455565455028
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565455046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565455131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565459731
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455565460244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565460251
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455565460903
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455565461399
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455565464359
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455565479400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565482076
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455565482584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455565482590
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455565483248
